,von_datum,bis_datum,stationshoehe_x,geobreite_x,geolaenge_x,stationsname,Landkreis
233,2004-05-01,2020-04-27,40.0,12.7867,52.6198,Berge,Havelland
234,1985-01-01,2020-04-27,418.0,12.2179,48.7725,Mallersdorf-Pfaffenberg/Niederbayern,Straubing-Bogen
235,2004-08-01,2020-04-27,413.0,6.8009,50.1015,Manderscheid-Sonnenhof,Bernkastel-Wittlich
236,1989-01-01,2020-04-27,12.0,14.5452,52.5468,Manschnow,Märkisch-Oderland
237,2006-07-01,2020-04-27,187.0,8.7746,50.8492,"Cölbe, Kr, Marburg-Biedenkopf",Marburg-Biedenkopf
238,1982-01-01,2020-04-27,639.0,13.1469,50.651,Marienberg,Erzgebirgskreis
239,1962-12-01,2020-04-27,547.0,7.9602,50.662,"Marienberg, Bad",Westerwaldkreis
240,2002-01-01,2012-12-21,5.0,11.2405,54.4937,Marienleuchte,Ostholstein
241,1981-01-01,2020-04-27,81.0,11.9319,53.3223,Marnitz,Ludwigslust-Parchim
242,2008-07-01,2020-04-27,427.0,10.8815,50.7334,Martinroda,Ilm-Kreis
243,2006-08-01,2020-04-27,107.0,11.5109,51.7259,Aschersleben-Mehringen,Salzlandkreis
244,1979-01-01,2020-04-27,450.0,10.3771,50.5612,Meiningen,Schmalkalden-Meiningen
245,2005-02-01,2020-04-27,158.0,13.4328,51.1294,Garsebach bei Meißen,Meißen
246,1975-06-01,2020-04-27,615.0,10.1384,47.982,Memmingen,Memmingen
247,2002-01-02,2020-04-27,19.0,7.3176,52.7156,Meppen,Emsland
248,2004-06-01,2020-04-27,250.0,9.7622,49.4773,"Mergentheim, Bad-Neunkirchen",Main-Tauber-Kreis
249,2002-11-01,2020-04-27,900.0,8.9433,48.1694,Meßstetten-Appental,Zollernalbkreis
250,2004-11-01,2020-04-27,314.0,12.9189,48.8548,Metten,Deggendorf
251,2009-04-01,2020-04-27,354.0,9.2734,48.5377,Metzingen,Reutlingen
252,2005-05-01,2020-04-27,240.0,9.0085,49.6691,Michelstadt,Odenwaldkreis
253,1987-10-01,2020-04-27,453.0,9.0997,49.7176,Michelstadt-Vielbrunn,Odenwaldkreis
254,2004-11-01,2020-04-27,356.0,11.7838,50.7281,Schmieritz-Weltwitz,Saale-Orla-Kreis
255,2008-04-01,2020-04-27,984.0,11.2653,47.4779,Mittenwald-Buckelwiesen,Garmisch-Partenkirchen
256,2006-09-01,2020-04-27,239.0,9.253,49.7644,Röllbach,Miltenberg
257,2005-05-01,2020-04-27,265.0,7.8061,50.4383,Montabaur,Westerwaldkreis
258,2004-06-01,2019-06-26,240.0,9.8352,51.7209,Moringen-Lutterbeck,Northeim
259,2002-01-01,2020-04-27,244.0,8.8734,48.9721,Mühlacker,Enzkreis
260,1955-01-01,2020-04-27,406.0,12.5024,48.2791,Mühldorf,Mühldorf am Inn
261,1991-01-01,2020-04-27,63.0,14.1232,52.5176,Müncheberg,Märkisch-Oderland
262,1997-07-01,2020-04-27,515.0,11.5429,48.1631,München-Stadt,München
263,2002-11-01,2020-04-27,750.0,9.4837,48.3851,Münsingen-Apfelstetten,Reutlingen
264,2004-06-01,2020-04-27,127.0,14.7008,51.566,"Muskau, Bad",Görlitz
265,2004-10-01,2020-04-27,149.0,8.7506,50.3574,"Nauheim, Bad",Wetteraukreis
266,2002-01-01,2020-04-27,380.0,11.2147,48.7086,Neuburg/Donau (Flugplatz),Neuburg-Schrobenhausen
267,2005-05-01,2020-04-27,486.0,10.3773,48.3115,Neuburg/Kammel-Langenhaslach,Günzburg
268,2004-09-01,2020-04-27,111.0,7.0853,50.5346,"Neuenahr, Bad-Ahrweiler",Ahrweiler
269,2004-10-01,2020-04-27,77.0,13.0421,53.102,Menz,Oberhavel
270,1989-05-01,2020-04-27,845.0,11.1344,50.5002,Neuhaus am Rennweg,Sonneberg
271,2004-05-01,2020-04-27,500.0,9.405,50.8923,Neukirchen-Hauptschwenda,Schwalm-Eder-Kreis
272,2004-11-01,2020-04-27,195.0,7.372,50.8446,Neunkirchen-Seelscheid-Krawinkel,Rhein-Sieg-Kreis
273,2005-03-01,2020-04-27,236.0,7.2297,49.344,Neunkirchen-Wellesweiler,Neunkirchen
274,1973-01-01,2019-04-08,38.0,12.8072,52.9037,Neuruppin,Ostprignitz-Ruppin
275,2008-03-01,2020-04-27,452.0,11.8638,49.8174,Neustadt am Kulm-Filchendorf,Neustadt an der Waldnaab
